	filename	height	width	r_avg	g_avg	b_avg
1	image_00001	500	591	116.35945892333984	127.42729949951172	88.15901184082031
2	image_00002	500	625	52.98243713378906	104.75691986083984	94.50495147705078
3	image_00003	667	500	100.3670654296875	101.7281723022461	68.51295471191406
4	image_00004	500	667	109.1412582397461	121.16789245605469	92.43568420410156
5	image_00005	500	508	90.87944030761719	110.92752838134766	81.2032470703125
6	image_00006	500	535	92.53086853027344	104.69257354736328	78.00300598144531
7	image_00007	500	667	111.68087768554688	107.09851837158203	71.95812225341797
8	image_00008	500	667	103.8377685546875	113.31135559082031	74.17180633544922
9	image_00009	510	500	93.75799560546875	97.1382064819336	95.80467987060547
10	image_00010	500	667	74.53021240234375	85.06444549560547	71.6427001953125
11	image_00011	748	500	106.03347778320312	94.70967102050781	46.195777893066406
12	image_00012	500	530	100.47315979003906	112.38528442382812	98.65789031982422
13	image_00013	500	666	108.39897918701172	116.56546783447266	97.18528747558594
14	image_00014	500	645	96.89359283447266	104.10250091552734	71.40227508544922
15	image_00015	500	755	74.24647521972656	80.07148742675781	55.605411529541016
16	image_00016	500	752	110.66463470458984	94.8572998046875	55.39243698120117
17	image_00017	500	531	93.39056396484375	100.5555648803711	76.93038177490234
18	image_00018	500	751	149.31031799316406	132.42501831054688	58.71139144897461
19	image_00019	500	667	96.22682189941406	127.99251556396484	77.20044708251953
20	image_00020	501	762	113.5140380859375	135.42417907714844	97.66722106933594
21	image_00021	500	666	104.0514144897461	96.9055404663086	85.50432586669922
22	image_00022	529	500	158.44850158691406	162.20840454101562	165.2386016845703
23	image_00023	500	754	97.09160614013672	110.87137603759766	85.34750366210938
24	image_00024	500	666	83.23677825927734	96.6645278930664	90.03902435302734
25	image_00025	500	754	84.59709167480469	117.05005645751953	70.94683074951172
26	image_00026	500	720	84.85956573486328	88.83235168457031	75.8843994140625
27	image_00027	500	617	88.2105941772461	97.70938110351562	77.56375885009766
28	image_00028	500	667	144.77725219726562	136.1045684814453	132.27499389648438
29	image_00029	500	667	58.94217300415039	97.68803405761719	78.23546600341797
30	image_00030	500	667	83.14893341064453	78.32066345214844	62.362281799316406
31	image_00031	500	667	54.242801666259766	86.6222152709961	71.65861511230469
32	image_00032	500	571	84.20429992675781	91.65586853027344	84.9179916381836
33	image_00033	500	666	56.011837005615234	86.80039978027344	67.21267700195312
34	image_00034	500	715	114.80017852783203	111.85990142822266	109.51396942138672
35	image_00035	500	666	96.07537841796875	112.75273132324219	80.67818450927734
36	image_00036	500	667	128.14141845703125	124.81851196289062	124.08989715576172
37	image_00037	500	667	92.09983825683594	106.1117172241211	91.38804626464844
38	image_00038	500	750	103.28495788574219	110.280029296875	96.64848327636719
39	image_00039	500	644	106.70565795898438	94.10424041748047	66.75454711914062
40	image_00040	500	667	98.2509536743164	115.28919219970703	87.66527557373047
41	image_00041	500	565	79.27056884765625	82.52032470703125	64.39060974121094
42	image_00042	500	556	103.75654602050781	119.52173614501953	93.16034698486328
43	image_00043	500	667	120.15877532958984	123.91487121582031	83.23844146728516
44	image_00044	500	667	114.49293518066406	116.21344757080078	96.95372009277344
45	image_00045	500	721	91.84573364257812	122.3069076538086	74.10350036621094
46	image_00046	500	666	108.94402313232422	136.4492950439453	86.64825439453125
47	image_00047	500	617	98.72704315185547	103.53523254394531	91.14547729492188
48	image_00048	667	500	121.4302749633789	116.69619750976562	72.58466339111328
49	image_00049	501	614	67.1493148803711	73.30208587646484	60.853370666503906
50	image_00050	500	667	128.5399932861328	123.03251647949219	103.42344665527344
51	image_00051	500	666	67.96332550048828	73.02745819091797	54.038883209228516
52	image_00052	500	667	71.03706359863281	77.8518295288086	69.03079223632812
53	image_00053	604	500	88.42312622070312	99.83741760253906	85.17215728759766
54	image_00054	500	750	78.97510528564453	91.35031127929688	69.09784698486328
55	image_00055	500	666	80.89210510253906	67.46395111083984	73.24842834472656
56	image_00056	500	666	77.02801513671875	96.4794692993164	49.65595626831055
